,visitNumber,visitId,visitStartTime,date,totals,trafficSource,device,geoNetwork,customDimensions,site,fullVisitorId,time,socialEngagementType
0,1,1501583974,1501583974,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Android', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': True, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'mobile'}","{'continent': 'Americas', 'subContinent': 'Caribbean', 'country': 'St. Lucia', 'region': '(not set)', 'metro': '(not set)', 'city': '(not set)', 'cityId': 'not available in demo dataset', 'networkDomain': 'unknown.unknown', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}",[],http://is.gd/dictumst/etiam/faucibus/cursus/urna/ut.html?placerat=interdum&ante=mauris&nulla=ullamcorper&justo=purus&aliquam=sit&quis=amet&turpis=nulla&eget=quisque&elit=arcu&sodales=libero&scelerisque=rutrum&mauris=ac&sit=lobortis&amet=vel&eros=dapibus&suspendisse=at&accumsan=diam&tortor=nam,2.25E+18,0:19:51,Not Socially Engaged
1,1,1501616585,1501616585,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Macintosh', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Americas', 'subContinent': 'Northern America', 'country': 'United States', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': '(not set)', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'North America'}]",https://livejournal.com/ac/leo/pellentesque/ultrices/mattis/odio.png?pellentesque=enim&ultrices=leo&mattis=rhoncus&odio=sed&donec=vestibulum&vitae=sit&nisi=amet&nam=cursus&ultrices=id&libero=turpis&non=integer&mattis=aliquet&pulvinar=massa&nulla=id&pede=lobortis&ullamcorper=convallis&augue=tortor&a=risus&suscipit=dapibus&nulla=augue&elit=vel&ac=accumsan&nulla=tellus&sed=nisi&vel=eu&enim=orci&sit=mauris&amet=lacinia&nunc=sapien&viverra=quis&dapibus=libero&nulla=nullam&suscipit=sit&ligula=amet&in=turpis&lacus=elementum&curabitur=ligula&at=vehicula&ipsum=consequat&ac=morbi&tellus=a&semper=ipsum&interdum=integer&mauris=a&ullamcorper=nibh&purus=in&sit=quis,8.65E+18,0:19:34,Not Socially Engaged
2,1,1501583344,1501583344,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Android', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': True, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'mobile'}","{'continent': 'Asia', 'subContinent': 'Southern Asia', 'country': 'India', 'region': 'Delhi', 'metro': '(not set)', 'city': 'New Delhi', 'cityId': 'not available in demo dataset', 'networkDomain': 'unknown.unknown', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'APAC'}]",https://cocolog-nifty.com/vulputate/justo/in/blandit/ultrices.jsp?lectus=ante&in=ipsum&est=primis&risus=in&auctor=faucibus&sed=orci&tristique=luctus&in=et&tempus=ultrices&sit=posuere&amet=cubilia&sem=curae&fusce=nulla&consequat=dapibus&nulla=dolor&nisl=vel&nunc=est&nisl=donec&duis=odio&bibendum=justo&felis=sollicitudin&sed=ut&interdum=suscipit&venenatis=a&turpis=feugiat&enim=et&blandit=eros&mi=vestibulum&in=ac&porttitor=est&pede=lacinia&justo=nisi&eu=venenatis&massa=tristique&donec=fusce&dapibus=congue&duis=diam&at=id&velit=ornare&eu=imperdiet&est=sapien&congue=urna&elementum=pretium&in=nisl&hac=ut&habitasse=volutpat&platea=sapien&dictumst=arcu&morbi=sed&vestibulum=augue&velit=aliquam&id=erat&pretium=volutpat,2.06E+18,0:19:14,Not Socially Engaged
3,1,1501573386,1501573386,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}, 'isTrueDirect': True}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Macintosh', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Europe', 'subContinent': 'Western Europe', 'country': 'Switzerland', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': '(not set)', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'EMEA'}]",https://army.mil/commodo/placerat/praesent/blandit/nam/nulla/integer.aspx?sapien=sodales&non=sed&mi=tincidunt&integer=eu&ac=felis&neque=fusce&duis=posuere&bibendum=felis&morbi=sed&non=lacus&quam=morbi&nec=sem&dui=mauris&luctus=laoreet&rutrum=ut&nulla=rhoncus&tellus=aliquet&in=pulvinar&sagittis=sed&dui=nisl&vel=nunc&nisl=rhoncus&duis=dui&ac=vel&nibh=sem&fusce=sed,7.51E+17,0:13:45,Not Socially Engaged
4,8,1501651467,1501651467,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}, 'isTrueDirect': True}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Windows', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Americas', 'subContinent': 'Northern America', 'country': 'United States', 'region': 'California', 'metro': 'Los Angeles CA', 'city': 'Los Angeles', 'cityId': 'not available in demo dataset', 'networkDomain': 'cox.net', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'North America'}]",http://shop-pro.jp/in/tempus/sit/amet/sem.aspx?nec=augue&sem=luctus&duis=tincidunt&aliquam=nulla&convallis=mollis&nunc=molestie&proin=lorem&at=quisque&turpis=ut&a=erat&pede=curabitur&posuere=gravida&nonummy=nisi&integer=at&non=nibh&velit=in&donec=hac&diam=habitasse&neque=platea&vestibulum=dictumst&eget=aliquam&vulputate=augue&ut=quam&ultrices=sollicitudin&vel=vitae&augue=consectetuer&vestibulum=eget&ante=rutrum&ipsum=at&primis=lorem&in=integer&faucibus=tincidunt&orci=ante&luctus=vel&et=ipsum&ultrices=praesent&posuere=blandit,5.73E+17,0:05:03,Not Socially Engaged
5,1,1501611552,1501611552,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'referralPath': '/imgres', 'campaign': '(not set)', 'source': 'google.com.vn', 'medium': 'referral', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Android', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': True, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'tablet'}","{'continent': 'Asia', 'subContinent': 'Southeast Asia', 'country': 'Vietnam', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': 'unknown.unknown', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}",[],http://so-net.ne.jp/nec/molestie/sed/justo.png?praesent=cursus&id=vestibulum&massa=proin&id=eu&nisl=mi&venenatis=nulla&lacinia=ac&aenean=enim&sit=in&amet=tempor&justo=turpis&morbi=nec&ut=euismod&odio=scelerisque&cras=quam&mi=turpis&pede=adipiscing&malesuada=lorem&in=vitae&imperdiet=mattis&et=nibh&commodo=ligula&vulputate=nec&justo=sem,8.31E+18,0:02:44,Not Socially Engaged
6,2,1501600400,1501600400,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}, 'isTrueDirect': True}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Android', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': True, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'mobile'}","{'continent': 'Americas', 'subContinent': 'Northern America', 'country': 'Canada', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': 'pppoe.ca', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'North America'}]",https://paginegialle.it/risus.png?turpis=justo&integer=sollicitudin&aliquet=ut&massa=suscipit&id=a&lobortis=feugiat&convallis=et&tortor=eros&risus=vestibulum&dapibus=ac&augue=est&vel=lacinia&accumsan=nisi&tellus=venenatis&nisi=tristique&eu=fusce&orci=congue&mauris=diam&lacinia=id&sapien=ornare&quis=imperdiet&libero=sapien&nullam=urna&sit=pretium&amet=nisl&turpis=ut&elementum=volutpat&ligula=sapien&vehicula=arcu&consequat=sed&morbi=augue&a=aliquam&ipsum=erat&integer=volutpat&a=in&nibh=congue&in=etiam&quis=justo&justo=etiam&maecenas=pretium&rhoncus=iaculis&aliquam=justo&lacus=in&morbi=hac&quis=habitasse&tortor=platea&id=dictumst&nulla=etiam&ultrices=faucibus&aliquet=cursus&maecenas=urna&leo=ut&odio=tellus&condimentum=nulla&id=ut&luctus=erat&nec=id&molestie=mauris&sed=vulputate&justo=elementum&pellentesque=nullam&viverra=varius&pede=nulla&ac=facilisi&diam=cras&cras=non&pellentesque=velit&volutpat=nec&dui=nisi&maecenas=vulputate&tristique=nonummy&est=maecenas&et=tincidunt&tempus=lacus&semper=at&est=velit&quam=vivamus&pharetra=vel&magna=nulla&ac=eget&consequat=eros&metus=elementum&sapien=pellentesque&ut=quisque&nunc=porta&vestibulum=volutpat&ante=erat&ipsum=quisque&primis=erat&in=eros&faucibus=viverra&orci=eget&luctus=congue&et=eget,9.16E+18,0:07:29,Not Socially Engaged
7,1,1501640178,1501640178,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Windows', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Asia', 'subContinent': 'Southeast Asia', 'country': 'Indonesia', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': 'unknown.unknown', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'APAC'}]",https://pbs.org/est/lacinia/nisi/venenatis/tristique.html?placerat=pharetra&ante=magna&nulla=ac&justo=consequat&aliquam=metus&quis=sapien&turpis=ut&eget=nunc&elit=vestibulum&sodales=ante&scelerisque=ipsum&mauris=primis&sit=in&amet=faucibus&eros=orci&suspendisse=luctus&accumsan=et&tortor=ultrices&quis=posuere&turpis=cubilia&sed=curae&ante=mauris&vivamus=viverra&tortor=diam&duis=vitae&mattis=quam&egestas=suspendisse&metus=potenti&aenean=nullam&fermentum=porttitor&donec=lacus&ut=at&mauris=turpis&eget=donec&massa=posuere&tempor=metus&convallis=vitae&nulla=ipsum&neque=aliquam&libero=non&convallis=mauris&eget=morbi&eleifend=non&luctus=lectus&ultricies=aliquam&eu=sit&nibh=amet&quisque=diam&id=in&justo=magna&sit=bibendum&amet=imperdiet&sapien=nullam&dignissim=orci&vestibulum=pede&vestibulum=venenatis&ante=non&ipsum=sodales&primis=sed&in=tincidunt&faucibus=eu&orci=felis&luctus=fusce&et=posuere&ultrices=felis&posuere=sed,7.71E+18,0:15:26,Not Socially Engaged
8,3,1501585492,1501585492,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'sessionQualityDim': '1'}","{'referralPath': '/', 'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}, 'isTrueDirect': True}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Macintosh', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Americas', 'subContinent': 'Northern America', 'country': 'United States', 'region': 'Massachusetts', 'metro': 'Boston MA-Manchester NH', 'city': 'Cambridge', 'cityId': 'not available in demo dataset', 'networkDomain': '(not set)', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'North America'}]",http://friendfeed.com/suscipit/nulla/elit/ac/nulla/sed/vel.xml?justo=morbi&sit=non&amet=lectus&sapien=aliquam&dignissim=sit&vestibulum=amet&vestibulum=diam&ante=in&ipsum=magna&primis=bibendum&in=imperdiet&faucibus=nullam&orci=orci&luctus=pede&et=venenatis&ultrices=non&posuere=sodales&cubilia=sed&curae=tincidunt&nulla=eu&dapibus=felis&dolor=fusce&vel=posuere&est=felis&donec=sed&odio=lacus&justo=morbi&sollicitudin=sem&ut=mauris&suscipit=laoreet&a=ut&feugiat=rhoncus&et=aliquet&eros=pulvinar&vestibulum=sed&ac=nisl&est=nunc&lacinia=rhoncus&nisi=dui&venenatis=vel&tristique=sem&fusce=sed&congue=sagittis&diam=nam&id=congue&ornare=risus&imperdiet=semper&sapien=porta&urna=volutpat&pretium=quam&nisl=pede&ut=lobortis&volutpat=ligula&sapien=sit&arcu=amet&sed=eleifend&augue=pede&aliquam=libero&erat=quis&volutpat=orci&in=nullam&congue=molestie&etiam=nibh&justo=in&etiam=lectus&pretium=pellentesque&iaculis=at&justo=nulla&in=suspendisse&hac=potenti&habitasse=cras,6.64E+18,0:13:24,Not Socially Engaged
9,1,1501635646,1501635646,20170801,"{'visits': '1', 'hits': '1', 'pageviews': '1', 'bounces': '1', 'newVisits': '1', 'sessionQualityDim': '1'}","{'campaign': '(not set)', 'source': '(direct)', 'medium': '(none)', 'adwordsClickInfo': {'criteriaParameters': 'not available in demo dataset'}}","{'browser': 'Chrome', 'browserVersion': 'not available in demo dataset', 'browserSize': 'not available in demo dataset', 'operatingSystem': 'Windows', 'operatingSystemVersion': 'not available in demo dataset', 'isMobile': False, 'mobileDeviceBranding': 'not available in demo dataset', 'mobileDeviceModel': 'not available in demo dataset', 'mobileInputSelector': 'not available in demo dataset', 'mobileDeviceInfo': 'not available in demo dataset', 'mobileDeviceMarketingName': 'not available in demo dataset', 'flashVersion': 'not available in demo dataset', 'language': 'not available in demo dataset', 'screenColors': 'not available in demo dataset', 'screenResolution': 'not available in demo dataset', 'deviceCategory': 'desktop'}","{'continent': 'Americas', 'subContinent': 'Northern America', 'country': 'United States', 'region': 'not available in demo dataset', 'metro': 'not available in demo dataset', 'city': 'not available in demo dataset', 'cityId': 'not available in demo dataset', 'networkDomain': 'cox.net', 'latitude': 'not available in demo dataset', 'longitude': 'not available in demo dataset', 'networkLocation': 'not available in demo dataset'}","[{'index': '4', 'value': 'North America'}]",https://washingtonpost.com/rhoncus/mauris/enim/leo/rhoncus.html?rutrum=tempus&nulla=vivamus&nunc=in&purus=felis&phasellus=eu&in=sapien&felis=cursus&donec=vestibulum&semper=proin&sapien=eu&a=mi&libero=nulla&nam=ac&dui=enim&proin=in&leo=tempor&odio=turpis&porttitor=nec&id=euismod&consequat=scelerisque&in=quam&consequat=turpis&ut=adipiscing&nulla=lorem&sed=vitae&accumsan=mattis&felis=nibh&ut=ligula&at=nec,2.49E+18,0:18:39,Not Socially Engaged
